iter	Passed	Remaining
406	7415	10805
407	7440	10796
408	7462	10783
409	7486	10773
410	7513	10767
411	7539	10759
412	7564	10750
413	7585	10736
414	7608	10725
415	7631	10713
416	7654	10702
417	7678	10691
418	7703	10682
419	7726	10669
420	7750	10658
421	7774	10647
422	7799	10639
423	7823	10627
424	7848	10618
425	7870	10604
426	7893	10593
427	7919	10583
428	7943	10573
429	7967	10562
430	7991	10550
431	8016	10540
432	8038	10526
433	8063	10515
434	8092	10511
435	8115	10498
436	8139	10486
437	8164	10476
438	8187	10462
439	8211	10450
440	8235	10438
441	8259	10426
442	8281	10413
443	8304	10399
444	8328	10387
445	8353	10376
446	8376	10363
447	8398	10348
448	8422	10335
449	8446	10323
450	8470	10311
451	8494	10298
452	8517	10285
453	8541	10271
454	8563	10257
455	8588	10246
456	8613	10234
457	8637	10221
458	8660	10207
459	8683	10193
460	8705	10178
461	8731	10167
462	8754	10154
463	8777	10139
464	8801	10126
465	8823	10111
466	8846	10097
467	8871	10084
468	8896	10072
469	8922	10060
470	8945	10047
471	8970	10034
472	8995	10022
473	9019	10008
474	9043	9995
475	9066	9980
476	9088	9965
477	9111	9950
478	9133	9934
479	9155	9918
480	9181	9906
481	9204	9891
482	9229	9878
483	9254	9865
484	9278	9852
485	9301	9837
486	9329	9827
487	9353	9813
488	9377	9799
489	9403	9787
490	9427	9772
491	9450	9758
492	9473	9742
493	9495	9726
494	9517	9710
495	9542	9696
496	9566	9681
497	9590	9667
498	9610	9649
499	9632	9632
500	9656	9617
501	9680	9603
502	9703	9588
503	9727	9572
504	9751	9558
505	9776	9544
506	9800	9529
507	9824	9515
508	9847	9499
509	9868	9481
510	9893	9467
511	9917	9452
512	9940	9436
513	9964	9422
514	9987	9406
515	10010	9389
516	10035	9375
517	10058	9359
518	10082	9344
519	10109	9332
520	10133	9316
521	10156	9300
522	10181	9285
523	10204	9269
524	10228	9254
525	10251	9238
526	10276	9223
527	10299	9207
528	10321	9189
529	10346	9175
530	10369	9158
531	10394	9143
532	10417	9127
533	10441	9111
534	10465	9095
535	10490	9081
536	10513	9065
537	10538	9049
538	10560	9032
539	10583	9015
540	10607	8999
541	10629	8982
542	10653	8966
543	10676	8949
544	10700	8933
545	10724	8917
546	10745	8899
547	10769	8883
548	10792	8865
549	10816	8849
550	10838	8831
551	10860	8814
552	10885	8799
553	10908	8782
554	10931	8765
555	10955	8748
556	10978	8731
557	11002	8715
558	11027	8699
559	11056	8687
560	11078	8668
561	11101	8651
562	11125	8635
563	11150	8620
564	11173	8602
565	11197	8585
566	11221	8569
