iter	Logloss
0	0.6462390883
1	0.6164802452
2	0.5958676206
3	0.5498231656
4	0.5349313524
5	0.5127883891
6	0.4975842092
7	0.4866986824
8	0.478170907
9	0.4670424342
10	0.4578252186
11	0.4465566801
12	0.4404050558
13	0.4326989783
14	0.4300849095
15	0.4233352012
16	0.4229182574
17	0.41917745
18	0.4109677368
19	0.4090672046
20	0.4055146329
21	0.3998591081
22	0.393172535
23	0.3852355807
24	0.3825694382
25	0.3784245664
26	0.3724688579
27	0.3689752792
28	0.3682817702
29	0.3664983481
30	0.3639557668
31	0.3635194617
32	0.3624401189
33	0.3606970783
34	0.3600275657
35	0.3580535861
36	0.3572643791
37	0.355459255
38	0.3547562201
39	0.351827914
40	0.3510870431
41	0.3495454052
42	0.3484115633
43	0.3462288249
44	0.3442806246
45	0.3441454812
46	0.3430813085
47	0.342272708
48	0.3407068526
49	0.3399313913
50	0.3391530152
51	0.3384611251
52	0.3381076725
53	0.3372039973
54	0.3365038112
55	0.3359265415
56	0.3353246015
57	0.3342994412
58	0.3341222524
59	0.333659255
60	0.3322202587
61	0.3317276108
62	0.3314909701
63	0.3308563078
64	0.330721221
65	0.3302523397
66	0.3301132791
67	0.3291755725
68	0.3289834022
69	0.3288246612
70	0.3283914171
71	0.3272407158
72	0.3264250547
73	0.325476779
74	0.3253322598
75	0.3247952215
76	0.3244643455
77	0.3233420305
78	0.3231883546
79	0.3228664932
80	0.3226288612
81	0.3219727455
82	0.3213816735
83	0.321140421
84	0.3208278626
85	0.3207400577
86	0.3203530033
87	0.3200330012
88	0.3188592411
89	0.3187508823
90	0.318493348
91	0.3180642136
92	0.317851165
93	0.3178005176
94	0.3166565229
95	0.3162364734
96	0.3161198543
97	0.3160910043
98	0.3157429886
99	0.3154668382
100	0.3153267178
101	0.3144594039
102	0.3144071717
103	0.3143319201
104	0.3142860766
105	0.3141115285
106	0.3138312119
107	0.3132824926
108	0.3129786752
109	0.3125141737
110	0.3123481275
111	0.3121327874
112	0.3120608268
113	0.3118118275
114	0.3114210992
115	0.3110682922
116	0.3105480229
117	0.310445606
118	0.310329528
119	0.3102726289
120	0.3101160568
121	0.3101160664
122	0.3100731437
123	0.3099053548
124	0.3096706486
125	0.3093748875
126	0.3091059854
127	0.30894697
128	0.3083881394
129	0.3080629188
130	0.3078057454
131	0.3070758188
132	0.3065833647
133	0.3064163513
134	0.3061554264
135	0.3060791317
136	0.3060170677
137	0.3054476489
138	0.3054166939
139	0.3053584896
140	0.305015903
141	0.3047308787
142	0.3041877464
143	0.3039623097
144	0.3037639621
145	0.3037108805
146	0.3033086093
147	0.3032127825
148	0.3029764145
149	0.3026780363
150	0.3025583068
151	0.3022873891
152	0.3016469876
153	0.3011900271
154	0.3005452468
155	0.3000709987
156	0.299979334
157	0.2994642872
158	0.2991530708
159	0.2988933579
160	0.2983447836
161	0.2978138016
162	0.2974628717
163	0.2971702591
164	0.2967866077
165	0.296446759
166	0.2961957392
167	0.2957299333
168	0.295376442
169	0.294384931
170	0.2939432009
171	0.2934542143
172	0.2930587021
173	0.2925262122
174	0.2920171363
175	0.2914128896
176	0.2908085077
177	0.2900243983
178	0.2896781346
179	0.2892594601
180	0.2889218025
181	0.2884989639
182	0.2880242694
183	0.2871001763
184	0.2866848177
185	0.2860766139
186	0.2855640126
187	0.2851303279
188	0.2845653272
189	0.2841047067
190	0.2838715401
191	0.2832371955
192	0.2824831756
193	0.2820963573
194	0.2816935455
195	0.2812173172
196	0.2807962721
197	0.28035294
198	0.2798483901
199	0.2794541744
200	0.2790230959
201	0.2784443067
202	0.2780554706
203	0.2777277243
204	0.2773796084
205	0.2770720081
206	0.2768260587
207	0.2764041098
208	0.2760117764
209	0.2756673611
210	0.2751592249
211	0.2749203351
212	0.2746000377
213	0.2743848754
214	0.2740316147
215	0.2737340419
216	0.2733844034
217	0.2731244063
218	0.2728097013
219	0.2725216721
220	0.2721620265
221	0.2715669331
222	0.2712054287
223	0.2709905523
224	0.2706506665
225	0.2703411621
226	0.2701223635
227	0.2698273268
228	0.2694730196
229	0.2692269613
230	0.2690185324
231	0.2686700336
232	0.2685199882
233	0.2682634454
234	0.26792107
235	0.267635399
236	0.2672219983
237	0.2670163167
238	0.2667903166
239	0.26651106
240	0.2662857023
241	0.2660424718
242	0.2657249414
243	0.2654875389
244	0.2652953411
245	0.2650603905
246	0.2647664879
247	0.2645422972
248	0.2643647852
249	0.2640508721
250	0.263846999
251	0.2636187254
252	0.2633653313
253	0.2630558787
254	0.2628614431
255	0.2626551278
256	0.262565558
257	0.2621986783
258	0.2619575979
259	0.2617299205
260	0.2614975423
261	0.261261182
262	0.2610562353
263	0.2608105277
264	0.2607018861
265	0.2605070938
266	0.260390746
267	0.260188672
268	0.2599798684
269	0.2597618735
270	0.2595219034
271	0.2593113882
272	0.2591237334
273	0.2589046853
274	0.2586349613
275	0.2584589008
276	0.2583267343
277	0.2581073764
278	0.2580007677
279	0.2577823188
280	0.2576357808
281	0.2574682839
282	0.2572717342
283	0.257121697
284	0.2568991486
285	0.2566932077
286	0.2564902419
287	0.2563446052
288	0.2561539894
289	0.2559579084
290	0.2557501191
291	0.2554929826
292	0.2553315729
293	0.2551668471
294	0.2549317209
295	0.254812605
296	0.2546717811
297	0.2544520677
298	0.2542956705
299	0.2541244733
300	0.2538906052
301	0.2537474614
302	0.253505747
303	0.2532594579
304	0.2531246178
305	0.2529763285
306	0.2528145436
307	0.2526921341
308	0.2525289402
309	0.2523235251
310	0.2522132906
311	0.2520311104
312	0.2518259927
313	0.2515727427
314	0.2514211448
315	0.2512400491
316	0.2510715646
317	0.2508782778
318	0.2506976457
319	0.2505045258
320	0.2503450528
321	0.2502771016
322	0.2499682751
323	0.249694631
324	0.2494680492
325	0.2493389384
326	0.2492051494
327	0.2490093667
328	0.2488294789
329	0.2487009004
330	0.2485594653
331	0.2483578635
332	0.2481927273
333	0.2480004929
334	0.247847462
335	0.2476873176
336	0.2474700362
337	0.2473759203
338	0.247219075
339	0.2470691624
340	0.246927481
341	0.2468461036
342	0.2467857912
343	0.246602234
344	0.2464809098
345	0.2463024703
346	0.2461536427
347	0.2460036138
348	0.2457056483
349	0.2455852027
350	0.2454640008
351	0.2452750925
352	0.2451021688
353	0.2449367412
354	0.2447827151
355	0.2446376301
356	0.244449201
357	0.2442643784
358	0.2441123092
359	0.2439971845
360	0.2438643855
361	0.2437032081
362	0.2435191421
363	0.2433680939
364	0.2431808835
365	0.2430006164
366	0.2428781333
367	0.2426872142
368	0.2425272416
369	0.2424744712
370	0.2423176841
371	0.242166757
372	0.2420113107
373	0.2418642271
374	0.2417135199
375	0.2415821253
376	0.2414509875
377	0.2413455286
378	0.2411270393
379	0.2410105222
380	0.2408888611
381	0.2407728649
382	0.2407050967
383	0.2405582914
384	0.2405030235
385	0.2403812487
386	0.2402018131
387	0.2400116135
388	0.239878812
389	0.2397794475
390	0.2396295845
391	0.2394600845
392	0.2392891132
393	0.2391745397
394	0.2390715833
395	0.2389263725
396	0.23874148
397	0.2386085067
398	0.238502275
399	0.2383578942
400	0.2382563242
401	0.2380603352
402	0.2379441999
403	0.2377573117
404	0.2376461703
405	0.2375364386
406	0.2374104428
407	0.2372563984
408	0.2371664383
409	0.2370743167
410	0.2369104173
411	0.2367513448
412	0.2366320589
413	0.2364768334
414	0.2363806654
415	0.2363178485
416	0.2361164415
417	0.2360027554
418	0.2358418504
419	0.2357392833
420	0.2356220608
421	0.2355196521
422	0.2353449876
423	0.2352564567
424	0.2351312981
425	0.2350533758
426	0.2349164157
427	0.2347672061
428	0.2346148699
429	0.2344973254
430	0.2343689356
431	0.2342625135
432	0.234174626
433	0.2340391251
434	0.2338775457
435	0.2337901262
436	0.2335906553
437	0.2334327228
438	0.2333331577
439	0.2332167996
440	0.2330450139
441	0.2329593603
442	0.2328436541
443	0.2327520768
444	0.2326159566
445	0.2324652276
446	0.2323540232
447	0.2322647504
448	0.2321535808
449	0.2319731956
450	0.2318127972
451	0.2316928831
452	0.2316072053
453	0.2315415536
454	0.2314285273
455	0.2312765761
456	0.2311307242
457	0.2309974871
458	0.2308752917
459	0.2307645848
460	0.2306635626
461	0.2305111605
462	0.2303528404
463	0.230249798
464	0.2301471948
465	0.2300878773
466	0.2299772683
467	0.2298418427
468	0.2297009895
469	0.2295699813
470	0.2294561825
471	0.2293094627
472	0.229181391
473	0.2290737467
474	0.22893444
475	0.2288720086
476	0.2287685086
477	0.2286698459
478	0.2285671352
479	0.2284768947
480	0.228385751
481	0.2282602623
482	0.2281418107
483	0.2280500955
484	0.2279360444
485	0.2278265037
486	0.2276800007
487	0.2275758182
488	0.2274339557
489	0.2273291886
490	0.227234749
491	0.2271330957
492	0.2270376946
493	0.2269830008
494	0.2268917753
495	0.2267632895
496	0.2266768178
497	0.226622612
498	0.2265780288
499	0.2265213972
500	0.2263973123
501	0.2262875923
502	0.2261544839
503	0.2260728056
504	0.225986711
505	0.2258705052
506	0.2257417888
507	0.2256522266
508	0.2255378502
509	0.2254608975
510	0.2253775416
511	0.2252305222
512	0.2251461731
513	0.2249979561
514	0.2249092106
515	0.2247883975
516	0.224667783
517	0.2244988088
518	0.2244182779
519	0.224303694
520	0.2242058419
521	0.2241508929
522	0.2240456835
523	0.2239842425
524	0.2238897447
525	0.2238150756
526	0.2236841409
527	0.2236211668
528	0.2235037836
529	0.2233941268
530	0.2233196425
531	0.2232509074
532	0.2231739639
533	0.2230783613
534	0.2229829456
535	0.2228821236
536	0.2227482438
537	0.2226781126
538	0.2226158978
539	0.2225462487
540	0.2224827784
541	0.2224117952
542	0.2222773369
543	0.2222195758
544	0.2221113178
545	0.2220301737
546	0.2219621783
547	0.2218875596
548	0.2218494555
549	0.2217758151
550	0.221734829
551	0.2216556022
552	0.221560485
553	0.2214593929
554	0.221395743
555	0.2213007537
556	0.2211931467
557	0.2210670866
558	0.2209340326
559	0.2208054892
560	0.2205837272
561	0.2205343874
562	0.2204297149
563	0.2203178187
564	0.2202572989
565	0.220179798
566	0.2200673613
567	0.219967166
568	0.219850263
569	0.2197847182
570	0.2197009915
571	0.2196433043
572	0.2195932923
573	0.2195325276
574	0.2194732917
575	0.2193895179
576	0.2193040439
577	0.2191848987
578	0.2190521013
579	0.2189062099
580	0.2188164645
581	0.2187063863
582	0.2186082008
583	0.2185618838
584	0.2184870407
585	0.2183964665
586	0.2182991107
587	0.2182049024
588	0.218096193
589	0.2180282017
590	0.2179736992
591	0.217896502
592	0.2178352837
593	0.2177684343
594	0.2176724756
595	0.217631493
596	0.2175426876
597	0.2174276241
598	0.2173565334
599	0.2173076748
600	0.21720282
601	0.2170874432
602	0.2169945043
603	0.2169646554
604	0.2168683585
605	0.21682892
606	0.216723536
607	0.2166336549
608	0.2164943931
609	0.2163873789
610	0.2163078143
611	0.216194489
612	0.21611695
613	0.2160541825
614	0.2159263414
615	0.2158380893
616	0.2157847094
617	0.2156865152
618	0.2155825399
619	0.2155045546
620	0.2154362423
621	0.2153563242
622	0.2152907747
623	0.215235172
624	0.2151750401
625	0.215109635
626	0.2150465853
627	0.2149349449
628	0.2148813883
629	0.2148353611
630	0.2147413565
631	0.2146619718
632	0.2145942144
633	0.2145106575
634	0.2143875033
635	0.2142984213
636	0.2141649268
637	0.214085678
638	0.2140023553
639	0.2139213416
640	0.2138342051
641	0.2137573275
642	0.2136726475
643	0.2135525779
644	0.2134644526
645	0.2133749775
646	0.2132712721
647	0.2131919428
648	0.2131244199
649	0.2130511148
650	0.2129954685
651	0.2129431746
652	0.212890952
653	0.21281204
654	0.2127211132
655	0.212605338
656	0.2125406443
657	0.2124544101
658	0.2123653087
659	0.2122783434
660	0.2121664621
661	0.2121032126
662	0.212033161
663	0.211995987
664	0.2119070441
665	0.2118144191
666	0.2117388811
667	0.2116253184
668	0.2115448825
669	0.2114696633
670	0.2113796367
671	0.2112607844
672	0.2111911187
673	0.2111363121
674	0.2110382954
675	0.2109272813
676	0.2108114624
677	0.2107217702
678	0.2106393854
679	0.2105661549
680	0.2104954329
681	0.210402981
682	0.2103320959
683	0.2102682753
684	0.2101898603
685	0.2101299276
686	0.2100947456
687	0.2100408661
688	0.2099436569
689	0.2098983168
690	0.2098404079
691	0.2097910943
692	0.2097534805
693	0.2097079844
694	0.2096232788
695	0.2095485341
696	0.2094680374
697	0.2093904141
698	0.2092984058
699	0.2092443279
700	0.2091865046
701	0.2090810451
702	0.2089933257
703	0.2089332487
704	0.2088817963
705	0.2088450102
706	0.2087910075
707	0.2086861854
708	0.2085615579
709	0.2084598859
710	0.20839591
711	0.2082990752
712	0.2081789188
713	0.208119626
714	0.2080421545
715	0.2079700183
716	0.207897506
717	0.2078508342
718	0.2077792544
719	0.2077349602
720	0.2076529881
721	0.2075475034
722	0.207482257
723	0.2074134428
724	0.2073144815
725	0.2072397805
726	0.2071587265
727	0.2070469541
728	0.2069510678
729	0.2068513848
730	0.2067997897
731	0.2067323713
732	0.206651883
733	0.2066117273
734	0.2065499605
735	0.206426363
736	0.2063541898
737	0.206334771
738	0.2062890729
739	0.2062266762
740	0.2061773977
741	0.2061136714
742	0.206062853
743	0.2060202998
744	0.2059265178
745	0.2058361726
746	0.2057536828
747	0.2056431992
748	0.2056021147
749	0.2055455946
750	0.2054848534
751	0.2054307487
752	0.2053570019
753	0.2052738932
754	0.2052204978
755	0.2051799467
756	0.205119877
757	0.2050182088
758	0.2049769729
759	0.2049234831
760	0.2048367145
761	0.2047780278
762	0.2047142713
763	0.2046149498
764	0.2045096953
765	0.2044069703
766	0.2043297314
767	0.2042457841
768	0.2041194915
769	0.2040652503
770	0.2040073511
771	0.2038868281
